as_of,mpp_name,riding,income,assets,liabilities,gifts,offices
"September 01, 2009",Laurel Broten,Etobicoke-Lakeshore,"Salary - Legislative Assembly of Ontario, Parliamentary Assistant salary","67 Lake Promenade, Toronto - 50% interest",Mortgages - Royal Bank of Canada,Ms. Broten gave a speech at the National Conference of Environmental Legislators and her travel and accommodation expenses were provided by the National Caucus of Environmental Legislators,Nil
"September 01, 2009",Leeanna Pendergast,Kitchener-Contestoga,"Salary - Legislative Assembly of Ontario, Parliamentary Assistant salary",Nil,Nil,Nil,Nil
"September 01, 2009",Leona Dombrowsky,Prince Edward-Hastings,"Salary - Legislative Assembly of Ontario, Ministerial salary",Nil,Mortgage - CIBC,Nil,Nil
"September 01, 2009",Linda Jeffrey,Brampton Springdale,"Salary - Legislative Assembly of Ontario, Parliamentary Assistant salary",Nil,Mortgage - First Line Trust,Ms. Jeffrey received two tickets to Mayor Susan Fennell's Gala and Golf Tournament from the Kerbel Group,Nil
"September 01, 2009",Lisa MacLeod,Nepean-Carleton,"Salary - Legislative Assembly of Ontario, Vice Chair, Standing Committee Government Agencies",Nil,Mortgage - Royal Bank,Nil,Nil
"September 01, 2009",Liz Sandals,Guelph,"Salary - Legislative Assembly of Ontario, Parliamentary Assistant salary",Nil,Nil,Nil,Nil
"September 01, 2009",Lorenzo Berardinetti,Scarborough Southwest,"Salary - Legislative Assembly of Ontario, Chair - Standing Committee Justice Policy",Nil,Mortgage - Scotiabank,Nil,Nil
"September 01, 2009",Lou Rinaldi,Northumberland-Quinte West,"Salary - Legislative Assembly, Parliamentary Assistant salary",Brighton Speedway Park - 50% interest,"Mortgages - BDC, Northumberland Business Assistance Corp, First Line",Nil,Nil
"September 01, 2009",Madeleine Meilleur,Ottawa-Vanier,"Salary - Legislative Assembly of Ontario, Ministerial Salary","Trust Agreement dated December 22, 2003",Mortgages - CIBC & TD Canada Trust,Ms. Meilleur received two tickets to the Dhadkan Fundraising Event in support of the University of Ottawa Heart Institute from the Executive Director of TQM Software Inc.,Nil
"September 01, 2009",Margarett Best,Scarborough-Guildwood,"Salary - Legislative Assembly of Ontario, Ministerial salary",Nil,Mortgage - TD Canada Trust,Ms. Best received the following: Two Bridge Point Heath Gala tickets from the Carpenters Union; two tickets to the Spirit of Hope Benefit from the Friends if Simon Wiesenthal Centre for Holocaust Studies; two raptors tickets in her capacity as Minister responsible for Sport from Canada Basket Ball; two tickets to the Toronto Board of Trade dinner from the Toronto Board of Trade; two concert tickets from Allergan; two Gala tickets from Canada Baseball in her capacity as Minister responsible for Sport.,Nil
"September 01, 2009",Maria Van Bommel,Lambton-Kent-Middlesex,"Salary - Legislative Assembly of Ontario, Parliamentary Assistant salary",Artesian Springs Poultry Farm - 50% interest,Mortgages - Private mortgages,Nil,Nil
"September 01, 2009",Mario Sergio,York West,Salary - Legislative Assembly of Ontario - Parliamentary Assistant salary,First General Realty Ltd. - 100% interest,Mortgages - Scotiabank,Nil,Nil
"September 01, 2009",Michael Brown,Algoma-Manitoulin,"Salary - Legislative Assembly of Ontario, Parliamentary Assistant salary",Nil,Line of credit - Bank of Montreal,Nil,Nil
"September 01, 2009",Michael Chan,Markham-Unionville,"Salary - Legislative Assembly of Ontario, Ministerial salary","Management Trust dated April 20, 2008","Line of credit, CIBC",Nil,Chan Associates (Social Club) - Vice-Chair
"September 01, 2009",Michael Gravelle,Thunder Bay-Superior North,"Salary - Legislative Assembly of Ontario, Ministerial salary",Nil,"Mortgage - CIBC,Loans - CIBC, Citifinancial",Nil,Nil
"September 01, 2009",Michael Prue,Beaches-East-York,"Salary - Legislative Assembly of Ontario, Chair of Standing Committee Regulations & Private Bills",Nil,Line of Credit - CIBC,Nil,East York Foundation - Director
"September 01, 2009",Mike Colle,Eglinton-Lawrence,"Salary - Legislative Assembly of Ontario, Chief Government Whip",Nil,Mortgage - CIBC,Nil,Nil
"September 01, 2009",Monique Smith,Nipissing,"Salary - Legislative Assembly of Ontario, Ministerial salary","Management Trust dated June 20, 2008",Mortgage - Royal Bank of Canada,"Ms. Smith in her capacity as the Minister of Tourism received the following: opening night admission to the Toronto International Film Festival in which she gave a speech and 12 tickets to attend the film festival on subsequent nights from the Executive Director of the Toronto International Film Festival; a ticket to Cinephilia, a Canadian film centre fundraiser, from Rogers Communication.",Nil
"September 01, 2009",Monte Kwinter,York Centre,"Salary - Legislative Assembly of Ontario, Parliamentary Assistant salary","Shares/Trust Units: Venga Aerospace Systems Inc., IndexPlus Income Fund Trust Units","Mortgage - Meridian Credit Union, Scarborough",Nil,Canadian Society for Yad Vashem - Honourary Director
"September 01, 2009",Norm Miller,Parry Sound-Muskoka,"Salary - Legislative Assembly of Ontario, Chief Whip of Official Opposition",Mortgage - Patterson-Kaye Limited,Loan - Bank of Nova Scotia,Nil,Frank Miller Ltd - Secretary Treasurer
"September 01, 2009",Norman Sterling,Carleton-Mississippi Mills,"Salary - Legislative Assembly of Ontario, Chair of Standing Committee Public Accounts","Shares: BCE Inc, Cdn Utilities, Emera Incorporated, Telus Corp, Transalta Corp",Nil,Nil,Nil
"September 01, 2009",Pat Hoy,Chatham-Kent Essex,Salary - Legislative Assembly of Ontario,"S 1/2 Lot 7, Tilbury East, Middle Road South, Merlin - 100% interest","Mortgages: Farm Credit Corporation, John Hoy",Nil,Nil
"September 01, 2009",Paul Miller,Hamilton East-Stoney Creek,"Salary Legislative Assembly of Ontario, Vice Chair, Standing Committee Regulations & Private Bills",Nil,Nil,Nil,Nil
"September 01, 2009",Peter C Tabuns,Toronto-Danforth,"Salary - Legislative Assembly of Ontario, Deputy House Leader with Party of the Opposition",Nil,Alterna Credit Union - Peter Tabuns Leadership Campaign,Nil,Nil
"September 01, 2009",Peter Fonseca,Mississauga East-Cooksville,"Salary - Legislative Assembly of Ontario, Ministerial Salary",22 Tullis Drive Toronto - 50% interest,"Mortgages: Bank of Montreal, Laurentian Bank",Minister Fonseca received two tickets to the Spirit of Hope Benefit from the Friends of Simon Wiesenthal Centre for Holocaust Studies,Nil
"September 01, 2009",Peter Kormos,Welland,"Salary - Legislative Assembly of Ontario, House Leader of Party with the Opposition","Unit, 185 Denistoun, Welland","Mortgages: Bank of Nova Scotia, Atlas Credit Union",Nil,Nil
"September 01, 2009",Peter Shurman,Thornhill,Salary - Legislative Assembly of Ontario,Northern Pipes - 100% interest (inactive),Mortgage - Bank of Montreal,Nil,Nil
"September 01, 2009",Philip McNeely,Ottawa-Orleans,"Salary - Legislative Assembly of Ontario, Parliamentary Assistant salary","RRSP - Mutual Funds: Real Estate (GWLIM), Canadian Resource (Mackenzie)",Nil,Nil,Nil
"September 01, 2009",Randy Hillier,Lanark-Frontenac-Lennox and Addington,Salary - Legislative Assembly of Ontario,Landowner Magazine - 30% interest,Mortgage - AGF Trust,Mr. Hillier attended the Legislative Agriculture Chairs Summit and his accommodation expenses were provided by the State Agriculture Rural Leaders Board,Nil
"September 01, 2009",Reza Moridi,Richmond Hill,"Salary - Legislative Assembly of Ontario, Parliamentary Assistant salary",Rental Property: 73 Little River Court - 50% interest,Mortgage - Bank of Montreal,Mr. Moridi participated in the Persian Nowruz Parade in New York. Mr & Mrs. Moridi's travel and accommodation expenses were provided by Persian Parade Inc.,Nil
"September 01, 2009",Rick Bartolucci,Sudbury,"Salary - Legislative Assembly of Ontario, Ministerial salary",RRSP - Mutual funds: Investors Canadian Natural Resources fund,Nil,Nil,Nil
"September 01, 2009",Rick Johnson,Haliburton-Kawartha Lakes-Brock (Byelection),Salary - Legislative Assembly of Ontario,Ricter Scale Music - 50% interest,Mortgage - Investors Group,Nil,Nil
"September 01, 2009",Robert Runciman,Leeds-Grenville,"Legislative Assembly of Ontario, Interim Leader of the Official Opposition, House Leader of the Official Opposition",Nil,Nil,Nil,Nil
"September 01, 2009",Rosario Marchese,Trinity-Spadina,"Salary -Legislative Assembly of Ontario, Caucus Chair of Party with the Opposition",Nil,Mortgage - CIBC,Nil,Nil
"September 01, 2009",Sandra Pupatello,Windsor West,"Salary - Legislative Assembly of Ontario, Ministerial salary",Nil,Mortgage - Royal Bank of Canada,Nil,Nil
"September 01, 2009",Shafiq Qaadri,Etobicoke North,"Salary - Legislative Assembly of Ontario, Chair Standing Committee Social Policy",IMEDFO (Internet Portal) - 15% interest,Nil,Nil,Nil
"September 01, 2009",Sophia Aggelonitis,Hamilton Mountain,"Salary - Legislative Assembly of Ontario, Parliamentary Assistant salary",KM Skore Inc. 100% interest (inactive),"Mortgage - TD Bank, Hamilton",Ms. Aggelonitis attended the World Hellenic Inter-Parliamentary Association Conference. Her travel and accommodation expenses were provided by the World Hellenic Inter-Parliamentary Association.,President/Secretary - KM Skore Inc.
"September 01, 2009",Steve Peters,Elgin-Middlesex-London,"Salary - Legislative Assembly of Ontario, Speaker's salary","33 Tecumseh Street, St. Thomas - 50% interest",Mortgage - Royal Bank of Canada,Nil,Nil
"September 01, 2009",Sylvia Jones,Dufferin-Caledon,Salary - Legislative Assembly of Ontario,Jones joint venture 3.8% interest (real estate holding),"Line of Credit, CIBC",Nil,Nil
"September 01, 2009",Ted Arnott,Wellington-Halton Hills,"Salary - Legislative Assembly of Ontario, Deputy Chair of the Committee of the Whole House","Shares - Dell Inc.,RRSP - Mutual funds: Altamira Precious Metals fund",Nil,Mr. Arnott received two tickets to Something Funny Happened on the Way to the Forum at the Stratford Festival from the Stratford Festival,Nil
"September 01, 2009",Ted Chudleigh,Halton,"Salary - Legislative Assembly of Ontario, Whip of the Official Opposition salary","Preferred Shares: Royal Bank of Canada, TD Bank, National Bank of Canada, Bank of Nova Scotia",Nil,Mr. Chudleigh received two tickets to the Shaw Festival from the Shaw Festival,Nil
"September 01, 2009",Ted McMeekin,Ancaster-Dundas-Flamborough-Westdale,"Salary - Legislative Assembly of Ontario, Ministerial salary","Condominium - 50% interest, 89 McCaul St., Toronto",Mortgages - First Line,Nil,Nil
"September 01, 2009",Tim Hudak,Niagara West-Glanbrook,"Salary - Legislative Assembly of Ontario, Leader of the Official Opposition",Trust Units - Labrador Iron Ore Royalty Income Fund,Mortgage - Bank of Montreal,Nil,Nil
"September 01, 2009",Toby Barrett,Haldimand-Norfolk,"Salary - Legislative Assembly of Ontario, Caucus Chair of Official Opposition",Farmleigh Farms - 50/50 partnership between Mr. Barrett and his father,Mortgage - First Line Mortgages,Nil,Nil
"September 01, 2009",Tony Ruprecht,Davenport,Salary - Legislative Assembly of Ontario,"398A Lake Promenade, Etobicoke",Nil,Nil,Nil
"September 01, 2009",Vic Dhillon,Brampton West,"Salary - Legislative Assembly of Ontario, Parliamentary Assistant salary",Nil,Mortgage - Scotiabank,Nil,Nil
"September 01, 2009",Wayne Arthurs,Pickering - Scarbourgh East,"Salary - Legislative Assembly of Ontario, Parliamentary Assistant salary","RRSP- Stock: Bombardier Inc., Bank of Nova Scotia",Mortgages - Royal Bank of Canada,Nil,Nil
"September 01, 2009",Yasir Naqvi,Ottawa Centre,"Salary - Legislative Assembly of Ontario, Parliamentary Assistant salary",2 Properties in Pakistan - 100% interest,Mortgage - TD Canada Trust,"The following items were donated for the St. Luke's Community BBQ: 10 cases of water, 12 cases of pop from Tannis Trading; a gift certificate to purchase buns from Metro Glebe; 20 cases of water from Harman’s Indep Grocer; 400 hotdogs, 400 buns from Loblaws.",Nil
"September 01, 2008",AMRIT MANGAT,Mississauga-Brampton South,Salary - Legislative Assembly,Nil,"Mortgage - TD Canada Trust
Line of Credit - Vancity Credit Union
•TD Canada Trust","Ms. Mangat received the following:
2 tickets from Louisa Morrone of Bell Canada for Ontario Liberal Fund Dinner
2 tickets from Capital Hill Group for the Mayor of Brampton Gala",Nil
"September 01, 2008",ANDREA HORWATH,Hamilton Centre,"Salary - Legislative Assembly of Ontario
Rental Income - Tenants","76 West Avenue North, Hamilton","Mortgages - MCAP Service Corp., First Ontario Credit Union",Nil,Nil
"September 01, 2008",BAS BALKISSOON,Scarborough—Rouge River,Salary - Legislative Assembly of Ontario,"2171041 Ontario Inc.
Shares - Bank of Nova Scotia, Stone 2007, MRF 2007
RRSP - Shares: Nova Chemicals Corp., Adobe Systems Inc., Fuelcell Energy Inc., Golden Star Resources, Magna International Inc., Mega Uranium Ltd","Loan - AGF Trust
Line of Credit - CIBC",Nil,Director - St. Johns Ambulance
"September 01, 2008",BILL MAURO,Thunder Bay—Atitkokan,Salary - Legislative Assembly of Ontario,Nil,Nil,Nil,Nil
"September 01, 2008",BILL MURDOCH,Bruce-Grey-Owen Sound,"Salary - Legislative Assembly of Ontario
Farming Operation - Sale of cattle","Lot 5, Conc. 2, Bognor
Lots 72 to 75, 78 to 81, Plan 162, Bognor",Nil,Nil,Nil
"September 01, 2008",BRAD DUGUID,Scarborough Centre,Salary - Legislative Assembly of Ontario,Nil,"RBC Homeline (mortgages & line of credit), Toronto",Nil,Nil
"September 01, 2008",BRUCE CROZIER,Essex,Salary - Legislative Assembly of Ontario,"Shares - Sun Life Financial, Manulife Financial",Nil,Nil,Nil
"September 01, 2008",CAROL MITCHELL,Huron—Bruce,Salary - Legislative Assembly of Ontario,"10/12 Isaac Street, Clinton - 50% interest",Nil,Nil,Nil
"September 01, 2008",CHARLES SOUSA,Mississauga South,Salary - Legislative Assembly of Ontario,"Shares: Barrick Gold, Bank of Montreal, Bank of Nova Scotia, Canadian Imperial Bank of Commerce, Canadian Natural Resources, Canadian National Railway, Encana Corp, Enbridge Inc., Manulife Financial, Petro-Canada, Rogers Communications Inc., Research in Motion Ltd., Royal Bank of Canada, Suncor Energy, Toronto Dominion Bank, Teranet Income Fund Trust, Talisman Energy Inc., TransCanada Corporation, General Electric Co, Microsoft Corp, Verizon Communications, Wachovia Corporation Com
RRSP - Shares: Royal Bank of Canada, Teranet Income Fund Trust Units, Manulife Financial",Line of credit - RBC Financial Group,Nil,Nil
"September 01, 2008",CHERI DINOVO,Parkdale—High Park,Salary - Legislative Assembly of Ontario,Nil,"Mortgage - Mortgage Intelligence, Toronto
Line of Credit - Royal Bank, Toronto",Nil,Nil
"September 01, 2008",CHRISTINE JANICE ELLIOTT,Whitby—Oshawa,"Salary - Flaherty, Dow, Elliott & McCarthy
Salary - Legislative Assembly of Ontario
Rental Income - Desk top box Inc.","1012713 Ontario Limited - 33?% joint interest with spouse (33?% interest held by Todd McCarthy; 33?% held by Grant Dow)
340 Watson Street West, PH07, Whitby - 50% interest (50% interest held by spouse)
Mortgage - 1625047 Ontario Inc., Whitby - 50% interest (50% interest held by spouse)
RRSP - Shares: BCE Inc., Leons Furniture Ltd., Nal Oil and Gas Trust Units, Royal Bank of Canada","Line of Credit - Royal Bank of Canada, Toronto
Mortgages: Royal Bank of Canada, ELCIC Holdings",Nil,"Treasurer & Director - 1012713 Ontario Limited
Director & Chair of Audit Committee - Legacy Private Trust
Secretary & Director - Abilities Centre Durham
Director - Toronto Symphony Orchestra"
"September 01, 2008",CHRISTOPHER ARTHUR WALKDEN BENTLEY,London West,Salary - Legislative Assembly of Ontario,"Management Trust dated August 3, 2006",Nil,Nil,Nil
"September 01, 2008",DALTON JAMES PATRICK MCGUINTY,Ottawa South,Salary - Legislative Assembly of Ontario,Nil,"Guarantor for spouse - Royal Bank of Canada, Ottawa
Line of credit - Royal Bank of Canada",Nil,Nil
"September 01, 2008",DAVE LEVAC,Brant,Salary - Legislative Assembly of Ontario,Nil,"Mortgage - RBC Financial, Brantford
Line of Credit - Teachers Credit Union",Nil,Nil
"September 01, 2008",DAVID CAPLAN,Don Valley East,Salary - Legislative Assembly of Ontario,Nil,"Guarantor for spouse, Maple Trust, Toronto
Line of Credit - Canadian Imperial Bank of Commerce, Toronto",Nil,Nil
"September 01, 2008",DAVID ORAZIETTI,Sault Ste. Marie,Salary - Legislative Assembly of Ontario,Nil,"Mortgage - Northern Credit Union, Sault Ste. Marie",Nil,Nil
"September 01, 2008",DAVID RAMSAY,Timiskaming—Cochrane,Salary - Legislative Assembly of Ontario,Nil,Line of Credit - Bank of Nova Scotia,Nil,Nil
"September 01, 2008",DAVID ZIMMER,Willowdale,"Salary - Legislative Assembly of Ontario
Honorarium - CFA Institute, Virginia",Nil,Guarantee - The David Zimmer Campaign,Nil,Member - Capital Campaign Cabinet Committee - St. John's Rehabilitation Hospital
"September 01, 2008",DEBORAH MATTHEWS,London North Centre,"Salary - Legislative Assembly of Ontario
Rental Income
Annuity and CPP Survivor Benefits","1009819 Ontario Ltd. (Holding Company) - 100% interest
1009819 Ontario Ltd. holds interest in the following companies:
Matthews Investments 1, Inc. - 3% interest (inactive)
1046498 Ontario Ltd. - 3% interest (inactive)
These companies are in the process of being wound up and pursuant to section 13, Ms. Matthews, as a Minister, may continue to hold an interest in these companies on the condition they remain inactive.
Wynnwood Pinnacle Management Group Corporation (Golf Course in Texas) - 0.295% interest",Nil,Nil,President and Director - 1009819 Ontario Ltd.
"September 01, 2008",DONNA HELENA CANSFIELD,Etobicoke Centre,Salary - Legislative Assembly of Ontario,"RRSP- Shares: IBM (Pursuant to s. 13 of the Members' Integrity Act, 1994, the Integrity Commissioner has ruled that Minister Cansfield is not required to place this equity in trust on the condition that she does not buy, sell or trade same.)",Nil,Nil,"Director - Learning for a Sustainable Future (Leave of absence as of November, 2005)
Honourary Patron - World Green Building Council"
"September 01, 2008",DWIGHT DUNCAN,Windsor—Tecumseh,Salary - Legislative Assembly of Ontario,Nil,"Loan - Bank of Montreal
Line of Credit - Bank of Montreal
Mortgage - Bank of Montreal, Windsor",Nil,Nil
"September 01, 2008",ELIZABETH SANDALS,Guelph,Salary - Legislative Assembly of Ontario,Nil,Nil,Nil,Nil
"September 01, 2008",ELIZABETH WITMER,Kitchener—Waterloo,Salary - Legislative Assembly of Ontario,Shares - Callinen Mines,Nil,Nil,Nil
"September 01, 2008",ERNIE HARDEMAN,Oxford,Salary - Legislative Assembly of Ontario,E. Hardeman & Sons Ltd. (Inactive) - 51% interest,Nil,Nil,E. Hardeman & Sons Ltd. - President
"September 01, 2008",FRANCE GELINAS,Nickel Belt,"Salaries: Legislative Assembly of Ontario, Centre de sante communautaire de Sudbury ( Resigned October 11, 2007)","Shares: Canada Dominion Res'07LPU, Canada Dominion Res'08LPU, Enervest FTSLPU 2007 II, Enervest FTSLPU 2008, JOV Diversfd F/T 2007 LPU",Nil,Nil,Nil
"September 01, 2008",FRANK KLEES,Newmarket-Aurora,"Salary - Legislative Assembly of Ontario
Klees & Associates Ltd.
Director's Fees for Roxul Inc., Universal Energy Group Ltd, Tribute Resources Inc.
Consulting and Advisory Fees
Stock Options: Universal Energy Group, Tribute Resources Inc., Northern Ethanol Inc.","Klees & Associates Ltd. - 100% interest
Canadian Medical Imaging - 10% interest
Shares - Tribute Resources, Universal Energy Group Ltd., Northern Ethanol Inc.","Line of Credit - TD Canada Trust
Mortgages - TD Canada Trust, Aurora, Pace Credit Union, Vaughan",Nil,"President - Klees & Associates Ltd.
Director: Tribute Resources Inc., Universal Energy Group Ltd., Northern Ethanol Inc., National Medical Imaging Corporation
Supervisory Board Member - Roxul Inc."
"September 01, 2008",GEORGE SMITHERMAN,Toronto Centre,Salary- Legislative Assembly of Ontario,Nil,"Mortgage - Toronto-Dominion Bank
Loan - TD Canada Trust
Guarantor for Rohan Handy - Honda Canada Finance",Nil,Nil
"September 01, 2008",GERALD L. PHILLIPS,Scarborough—Agincourt,Salary - Legislative Assembly of Ontario,"Trust Agreement dated November 15, 2003",Nil,Nil,Nil
"September 01, 2008",GERRY MARTINIUK,Cambridge,"Salary - Legislative Assembly of Ontario
Dividends and Interest on investments","Shares - Teck Cominico Limited, Goldcorp Inc., Kinross Gold Corporation., Cameco Corporation, EnCana Corporation, Imperial Oil Limited, Petro-Canada, CP Railway Limited, Canadian National Railway Company, Enbridge Inc., TransCanada Corporation, Canadian Natural Resources Limited, Bank of Nova Scotia, Great-West Lifeco. Inc., ManuLife Financial Corporation, Royal Bank of Canada, Power Corporation of Canada, Suncore Energy Inc., General Electric Company, Potash Corporation of Saskatchewan Inc., PepsiCo Inc., Proctor & Gamble Company, Exxon Mobil Corporation, Research in Motion, Shaw Communications, Johnson and Johnson, IBM, Microsoft corporation, Lakeshore Gold Corp, Shoppers Drug Mart Corporation, United Technologies Corporation, Comcast Corporation, Cisco Systems Inc., Southwestern Res Corp, Toronto Dominion Bank, SNC-Lavalin Group Inc., Brookfield Asset Management Class A, Zincore Metals Inc, Rogers Communications, AT&T Inc, Sun Life Financial Inc., Tim Hortons Inc, CVS Caremark Corporation, Wal-Mart, The Bank of New York Mellon Corp., McDonald's Corporation, Abbot Laboratories, Walt Disney Company, JP Morgan Stanley, Met Life Inc, Wells Fargo & Co, Hewlett-Packard Company, Intel Corporation, Oracle Corporation.
RRSP - Shares: Transatlantic Petroleum, Bank of Montreal, Brookfield Asset MGT-A, Power Corp of Canada, Toronto Dominion Bank",Nil,Nil,Nil
"September 01, 2008",GILLES BISSON,Timmins—James Bay,Salary - Legislative Assembly of Ontario,Nil,"Mortgage - Scotiabank, Timmins
Line of Credit - Scotiabank, Timmins",Nil,Nil
"September 01, 2008",GREGORY SORBARA,Vaughan,"Salary - Legislative Assembly (net of Standard Life MPP Pension)
Pension - Standard Life
Dividend and Interest Income on investments","Management Trust dated December 22, 2003",Nil,Nil,"Vallican Investments Incorporated, President and Director"
"September 01, 2008",HARINDER TAKHAR,Mississauga-Erindale,"Salary - Legislative Assembly of Ontario
Pension - OMERS
Interest on investments","Trust Agreement dated November 7, 2006.",Line of Credit - TD Canada Trust,Minister Takhar received the following while on a trade mission to the United Arab Emirates: a Swarovski crystal figurine from SS Lotah; a clock from the International Business Women's Group; a falcon statue from Tecam Investments.,Nil
"September 01, 2008",HELENA JACZEK,Oak Ridges-Markham,"Salary - Legislative Assembly of Ontario
Pension - Omers
Investment Income
MMXI Inc. - Rental and Investment Income","MMXI Inc. - 100% Interest
- 23 Observatory Lane, Richmond Hill - Sold July, 2008",Nil,Nil,MMXI Inc. - President and Secretary
"September 01, 2008",HOWARD HAMPTON,Kenora—Rainy River,"Salary - Legislative Assembly of Ontario
Interest on investments",Nil,"Guarantor - Colin Jones, Royal Bank of Canada
- Kenora NDP Riding Association (Federal), Northern Lights Credit Union",Nil,Nil
"September 01, 2008",JAMES BROWNELL,Stormont—Dundas—South Glengarry,"Salary - Legislative Assembly of Ontario
Pension - Ontario Teachers' Pension Plan",Nil,"Lines of Credit - Bank of Nova Scotia, Bank of Montreal, Cornwall",Nil,Nil
"September 01, 2008",JAMES J. BRADLEY,St. Catharines,"Salary - Legislative Assembly of Ontario
Interest on Investments",Nil,Nil,Nil,Nil
"September 01, 2008",JEAN-MARC LALONDE,Glengarry—Prescott—Russell,"Salary - Legislative Assembly of Ontario
Annuity - Clarica Investco
Rental Income
Interest from Investments","1644 Laurier Street, Rockland - 50% interest with son
746 Power Street, Rockland - 50% interest with son - vacant lot
632 Gareau Street, Rockland 50% interest with spouse
Share - Outaouais Golf Club, Rockland, Hawkesbury Golf and Country Club","Line of Credit - Scotiabank, Rockland
Guarantor - TD Bank for Mario Audio Inc.",Nil,"Ottawa River Committee Inc. - President
Association of Francophone Parliamentarians - Ontario Section - President"
"September 01, 2008",JEFFREY LEAL,Peterborough,"Salary - Legislative Assembly of Ontario
Rental Income","666 Montrose Street, Peterborough","Mortgage - Scotiabank
Line of Credit - Scotiabank",Nil,•Nil
"September 01, 2008",JERRY J. OUELLETTE,Oshawa,Salary - Legislative Assembly of Ontario,Nil,"Mortgage - Canadian Imperial Bank of Commerce, Oshawa",Nil,Nil
"September 01, 2008",JIM WATSON,Ottawa West—Nepean,Salary - Legislative Assembly of Ontario,"Trust Agreement dated August 30, 2004",Nil,Mr. Watson received the following: a ticket to the Black & White Soiree from the National Arts Centre; a ticket to the Heritage Dinner from Zodiac Developments; a ticket to the Toronto Board of Trade Annual Dinner from Bell Canada; a ticket to the Sens Foundation Dinner from Bell Canada.,Nil
"September 01, 2008",JIM WILSON,Simcoe—Grey,Salary - Legislative Assembly of Ontario,Nil,"Mortgage - Bank of Montreal, Toronto",Nil,Nil
"September 01, 2008",JOE DICKSON,Ajax-Pickering,"Salaries: Legislative Assembly of Ontario, L.J. Dickson Printing Ltd
Pensions: Old Age Security, Canada Pension Plan","L.J. Dickson Printing Ltd - 100% interest
870621 Ontario Limited - 50% interest (Holding Company, Real Estate)","Line of credit - Royal Bank, Ajax",Nil,"L.J. Dickson Printing - President
870621 Ontario Limited - Director"
"September 01, 2008",JOHN GARFIELD DUNLOP,Simcoe North,Salary - Legislative Assembly of Ontario,"Glen Dunlop Plumbing Heating and Supplies Ltd (Construction) - 20% interest (C. Dunlop, M. Dunlop, A. Dunlop, K. Chrysler - 20% each)
1267831 Ontario Inc. (Holding Company) - 50% interest
Rakarl Limited (Holding Company) - 50% interest
Polyethics Industries Inc. (Manufacturing) - 19% interest with spouse
Subdivision lots, John Street, Coldwater - 50% interest","Mortgage - Bank of Montreal, Orillia",Nil,"Glen Dunlop Plumbing, Heating and Supplies Ltd. - Director
Polyethics Industries Ltd. - Director"
"September 01, 2008",JOHN GERRETSEN,Kingston and the Islands,Salary - Legislative Assembly of Ontario,"Shares - Manulife, Petrocan, Sunlife, General Motors, Tech Corporation (Pursuant to s.13 of the Members' Integrity Act, 1994, the Commissioner has agreed that Mr. Gerretsen may retain these shares on the condition that he does not trade, acquire or sell same.)",Line of Credit - ScotiaBank,Nil,Nil
"September 01, 2008",JOHN MILLOY,Kitchener Centre,Salary - Legislative Assembly of Ontario,Nil,Nil,Nil,Nil
"September 01, 2008",JOHN R. O'TOOLE,Durham,"Salary - Legislative Assembly of Ontario
Pension - General Motors of Canada","Shares - Kinross Gold Corp., EDS Corp., MDS Inc.
Demand Note - GMAC
RRSP - Shares - Royal Bank of Canada, Series S-1 Income Fund Trust Units, Wal-Mart Stores Inc.",Nil,Nil,Nil
"September 01, 2008",JOHN WILKINSON,Perth—Wellington,Salary - Legislative Assembly of Ontario,"Mutual Funds (Management Trust dated December 17, 2007)","Mortgage - Manulife Bank of Canada, Waterloo",Mr. Wilkinson received the following: 2 tickets to the opening night of the Shaw Festival from the Shaw Festival 2 tickets to the opening night of the Stratford Festival from the Stratford Festival 2 tickets to Hamlet at the Stratford Festival from Scotiabank 2 tickets to To Kill a Mockingbird at the Stratford Festival from the Stratford Festival,Nil
"September 01, 2008",JOHN YAKABUSKI,Renfrew—Nipissing—Pembroke,Salary - Legislative Assembly of Ontario,"969041 Ontario Limited - 58% interest (inactive)
P. J. Wye Holdings Ltd. - 80% interest
Promissory Note - Renfrew Golf Club, Limited
RRSP - Shares: Premium Income Corp, Advantage Energy Income Trust Units",Nil,Nil,"President - 969041 Ontario Limited
President - P.J. Wye Holding Ltd."
"September 01, 2008",JOYCE SAVOLINE,Burlington,"Salary - Legislative Assembly
OMERS - Pension",Nil,Nil,Nil,Nil
